Retailer ,Stock Code,Category ,Stock Desc,Eye shape 1,AR Filter URL (Dev only,Boots URL
Superdrug,71017K,3/4 Length  ,3/4 Length No.027,"Almond, Round, Monolid, Hooded",,
Superdrug,71009K,Naturals ,Naturals No.037,All,,
Boots,71019K,Light & Wispy,Light & Wispy No.172 ,"Almond, Round, Upturned",,https://www.boots.com/eylure-light-and-wispy-no-172-cat-eye-lashes-10373944?affwin&utm_source=Genie+Shopping-259955&utm_medium=affiliate&utm_campaign=css&utm_term=&utm_content=&sv1=affiliate&sv_campaign_id=259955&awc=2041_1781183740_85ffe599395ff14b61127d8b01ef7411
Boots,71026K,Light & Fluffy,Light & Fluffy No.250,"Downturned, Almond, Hooded, Round, Monolid",,https://www.boots.com/eylure-light-and-fluffy-no-250-lashes-10373942?affwin&utm_source=Genie+Shopping-259955&utm_medium=affiliate&utm_campaign=css&utm_term=&utm_content=&sv1=affiliate&sv_campaign_id=259955&awc=2041_1781183762_8dabff2b8a7df12fec674662249ae0a3
Superdrug,71029K,Light & Fluffy,Light & Fluffy No.258,All,,
Superdrug,71011K,Clusters,Clusters - Full Volume No.33,All,,
Superdrug,71032K,Clusters,Clusters - Light & Fluffy No.28,All,,
Superdrug,71034K,Clusters,Clusters - Wet Look No.31,All,,
Boots,71031K,Clusters,Clusters- Soft & Fluffy No.26,All,,https://www.boots.com/eylure-clusters-soft-and-fluffy-no-26-lashes-10373938?affwin&utm_source=Redbrain+Ltd-176013&utm_medium=affiliate&utm_campaign=css&utm_term=&utm_content=&sv1=affiliate&sv_campaign_id=176013&awc=2041_1781183783_8af24d06a51598d191e054a3db753a56
Boots,71033K,Clusters,Clusters- Wet look No.30,All,,https://www.boots.com/eylure-clusters-wet-look-no-30-lashes-10373948?affwin&utm_source=Genie+Shopping-259955&utm_medium=affiliate&utm_campaign=css&utm_term=&utm_content=&sv1=affiliate&sv_campaign_id=259955&awc=2041_1781183806_4643c9d7c349530e13d37527ce87b9ec
Superdrug,71024K,Clusters,Underlash Pre Glued Clusters-Fluffy,All,,
Superdrug,71020K,Clusters,Fluffy Clusters - Pride  ,All,,
Superdrug,71038K,Bratz,Eylure x Bratz - CLOE Angel,"Downturned, Almond, Hooded, Round, Monolid",,
Superdrug,71037K,Bratz,Eylure x Bratz - JADE Kool Kat,"Almond, Round, Upturned",,
Superdrug,71039K,Bratz,Eylure x Bratz - SASHA Bunny Boo,"Downturned, Almond, Hooded, Round, Monolid",,
Superdrug,71040K,Bratz,Eylure x Bratz - YASMIN Pretty Princess,"Downturned, Almond, Hooded, Round, Monolid",,
